specification,z_coef,z_se,z_pval,f_stat,r2,n
unconditional,0.8700726712177809,0.004990084955083073,0.0,30401.51152029578,0.7367714829502032,7802
with_covariates,0.8661215244690288,0.005498294779268626,0.0,24814.276859730264,0.7384441866001021,7802
