outcome,gamma_total,gamma_total_se_hc1,gamma_total_pval,gamma_residual,gamma_residual_se_hc1,gamma_residual_pval,gamma_through_intensity,gamma_boot_se,gamma_boot_ci_lo,gamma_boot_ci_hi,n_ranibizumab,n_boot
va_change,0.01823455804433166,0.7461374283636928,0.9805027550079373,-1.20170738863149,0.7378641229333637,0.10339144349968983,1.2199419466758217,0.7285987669704204,-1.4120390403146008,1.4261390758112273,3851,2000
event_va70,-0.10917227505312832,0.023091147724416138,2.268713798077542e-06,-0.07347310845740607,0.022213812797526475,0.0009411875396242943,-0.035699166595722254,0.023563074503531598,-0.15569502860862208,-0.0634057214127298,2932,2000
event_va35,-0.03811788878175782,0.018657994588230194,0.041054529433975306,0.0023856225188341983,0.017636824217744384,0.892403365688556,-0.040503511300592016,0.01910827838085176,-0.07452716837125081,0.0003831538442544645,3101,2000
