outcome,label,n,wald_late_gamma0,wald_se,wald_ci,gamma_hat,gamma_se,gamma_ci,adjusted_late,adjusted_se,adjusted_ci,adjusted_p,breakdown_gamma,uci,late_2sls_intensity,se_2sls_intensity
va_change,VA change (letters),7802,1.3385402489915759,0.47704290286294576,"[0.404, 2.274]",0.01823455804433166,0.7285987669704204,"[-1.412, 1.426]",1.3175827374554305,0.963747125525846,"[-0.571, 3.207]",0.17157964168195106,0.3587354893420658,"[-1.236, 3.896]",-0.46976517556025066,0.5012937000296094
event_va70,Achieved VA >= 70,5978,-0.011568839928991576,0.014873015567277256,"[-0.041, 0.018]",-0.10917227505312832,0.023563074503531598,"[-0.156, -0.063]",0.1131943542469571,0.03076248356139612,"[0.053, 0.173]",0.00023357864514078776,0.0,"[0.032, 0.196]",-0.0637286909912361,0.014469221247419565
event_va35,Deteriorated to VA <= 35,6453,-0.05115798924428064,0.012114995910821715,"[-0.075, -0.027]",-0.03811788878175782,0.01910827838085176,"[-0.075, 0.000]",-0.00771815179012942,0.024919338413305007,"[-0.057, 0.041]",0.7567697937246063,-0.027638190954773878,"[-0.075, 0.058]",-0.016713612671628898,0.012113041954869029
