covariate,pre_2013_mean,post_2013_mean,smd,t_stat,p_value
Baseline VA,54.29806807727691,54.95177273728254,0.040919949543134077,-1.7845149257156891,0.07438287961971551
Age midpoint,78.0328120208525,78.41114292006166,0.047173233393780115,-2.056101371186094,0.03980950089233961
Female,0.6289481754063171,0.6000880863245981,-0.05931468351673842,2.5870623749894257,0.009699557639281368
Loaded induction,0.6467341306347746,0.9035454745650737,0.6463763066290646,-27.179408734765065,6.99781701257826e-152
Induction interval (days),65.48052744556884,35.30852235190487,-0.46853761926498244,19.089540782922107,1.937263474432894e-77
Afro-Caribbean,0.02269242563630788,0.022682228584012334,-6.847136740988244e-05,0.0029829626688171983,0.9976200284091963
South-East Asian,0.07482367371971788,0.08984805109006827,0.054672118045007295,-2.3982467620701895,0.01649856601392667
Unknown ethnicity,0.16988653787181845,0.35520810394186303,0.4307741832030544,-19.144264892356578,7.424014965304408e-80
